Scenario_ID,Grid,Load_Profile_ID,Num_Target_Buses,Target_Buses,Tripped_Line_Idx,Tripped_From_Bus,Tripped_To_Bus,Converged,Security_Class,Security_Label,Peak_Loading_Pct,Min_Voltage_PU,Violations_Count,Total_Load_MW
CASE14_0006_LINE_1_2,CASE14,6,3,"2,8,9",0,1,2,1,0,SAFE,3.2,0.971,0,289.6
CASE14_0006_LINE_1_5,CASE14,6,3,"2,8,9",1,1,5,1,0,SAFE,2.8,0.995,0,289.6
CASE14_0006_LINE_2_3,CASE14,6,3,"2,8,9",2,2,3,1,0,SAFE,1.7,0.999,0,289.6
CASE14_0006_LINE_2_4,CASE14,6,3,"2,8,9",3,2,4,1,0,SAFE,1.6,0.992,0,289.6
CASE14_0006_LINE_2_5,CASE14,6,3,"2,8,9",4,2,5,1,0,SAFE,1.6,0.999,0,289.6
CASE14_0006_LINE_3_4,CASE14,6,3,"2,8,9",5,3,4,1,0,SAFE,1.9,1.006,0,289.6
CASE14_0006_LINE_4_5,CASE14,6,3,"2,8,9",6,4,5,1,0,SAFE,2.1,0.999,0,289.6
CASE14_0006_LINE_4_7,CASE14,6,3,"2,8,9",7,4,7,1,0,SAFE,1.8,1.001,0,289.6
CASE14_0006_LINE_4_9,CASE14,6,3,"2,8,9",8,4,9,1,0,SAFE,1.8,1.007,0,289.6
CASE14_0006_LINE_5_6,CASE14,6,3,"2,8,9",9,5,6,1,0,SAFE,1.9,1.004,0,289.6
CASE14_0006_LINE_6_11,CASE14,6,3,"2,8,9",10,6,11,1,0,SAFE,1.8,1.004,0,289.6
CASE14_0006_LINE_6_12,CASE14,6,3,"2,8,9",11,6,12,1,0,SAFE,1.8,1.007,0,289.6
CASE14_0006_LINE_6_13,CASE14,6,3,"2,8,9",12,6,13,1,0,SAFE,1.8,0.985,0,289.6
CASE14_0006_LINE_7_8,CASE14,6,3,"2,8,9",13,7,8,0,2,CRITICAL,999.0,0.0,10,289.6
CASE14_0006_LINE_7_9,CASE14,6,3,"2,8,9",14,7,9,1,0,SAFE,1.8,0.989,0,289.6
CASE14_0006_LINE_9_10,CASE14,6,3,"2,8,9",15,9,10,1,0,SAFE,1.8,1.007,0,289.6
CASE14_0006_LINE_9_14,CASE14,6,3,"2,8,9",16,9,14,1,0,SAFE,1.8,0.997,0,289.6
CASE14_0006_LINE_10_11,CASE14,6,3,"2,8,9",17,10,11,1,0,SAFE,1.8,1.005,0,289.6
CASE14_0006_LINE_12_13,CASE14,6,3,"2,8,9",18,12,13,1,0,SAFE,1.8,1.007,0,289.6
CASE14_0006_LINE_13_14,CASE14,6,3,"2,8,9",19,13,14,1,0,SAFE,1.8,0.993,0,289.6
CASE14_0007_LINE_1_2,CASE14,7,4,"11,3,8,7",0,1,2,0,2,CRITICAL,999.0,0.0,10,363.9
CASE14_0007_LINE_1_5,CASE14,7,4,"11,3,8,7",1,1,5,1,0,SAFE,3.8,0.998,0,363.9
CASE14_0007_LINE_2_3,CASE14,7,4,"11,3,8,7",2,2,3,1,0,SAFE,2.5,0.982,0,363.9
CASE14_0007_LINE_2_4,CASE14,7,4,"11,3,8,7",3,2,4,1,0,SAFE,2.3,0.996,0,363.9
CASE14_0007_LINE_2_5,CASE14,7,4,"11,3,8,7",4,2,5,1,0,SAFE,2.3,1.0,0,363.9
CASE14_0007_LINE_3_4,CASE14,7,4,"11,3,8,7",5,3,4,1,0,SAFE,2.7,1.01,0,363.9
CASE14_0007_LINE_4_5,CASE14,7,4,"11,3,8,7",6,4,5,1,0,SAFE,2.9,1.004,0,363.9
CASE14_0007_LINE_4_7,CASE14,7,4,"11,3,8,7",7,4,7,1,0,SAFE,2.5,1.004,0,363.9
CASE14_0007_LINE_4_9,CASE14,7,4,"11,3,8,7",8,4,9,1,0,SAFE,2.5,1.009,0,363.9
